"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","gene_label","significant","contrast"
"ENSSSCT00000065032.3",2.27658283776384,4.47883586905344,4.55685104915021,5.53068395882627e-05,0.0450806049483929,1.61029701953006,"ENSSSCT00000065032.3","ENSSSCG00000037572","EPSTI1","EPSTI1","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000072357.1",4.79212981975895,-3.32701558073634,5.06603751852936,1.16004133125149e-05,0.0209488807868442,1.55919336807251,"ENSSSCT00000072357.1","ENSSSCG00000008648","RSAD2","RSAD2","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000011439.5",3.75010145817322,5.06117826939955,4.53215700231735,5.96140263963877e-05,0.0455514348246863,1.55912806879581,"ENSSSCT00000011439.5","ENSSSCG00000010452","IFIT1","IFIT1","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000022376.4",1.40205446646954,7.59250950209073,4.62978982730499,4.42967503384686e-05,0.0397830770844353,1.52507810753695,"ENSSSCT00000022376.4","ENSSSCG00000055162",NA,"ENSSSCG00000055162","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000088141.1",5.37177063746921,-1.83274093386317,4.89318910054478,1.97684173134993e-05,0.0238714621514567,1.46760131506189,"ENSSSCT00000088141.1","ENSSSCG00000008648","RSAD2","RSAD2","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000070957.2",1.70075043654599,5.37443591478685,4.5093225856902,6.38899597635157e-05,0.0467234856292248,1.36927791542746,"ENSSSCT00000070957.2","ENSSSCG00000036383","LGALS3BP","LGALS3BP","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000074450.1",3.82779538652728,-1.04290211675965,4.73427439413139,3.21936144413175e-05,0.0308717825071976,1.31205121683372,"ENSSSCT00000074450.1","ENSSSCG00000029030","SMCHD1","SMCHD1","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000022577.5",1.53867578144733,6.75045151719852,4.49349092573398,6.70304036078253e-05,0.0475099843310769,1.18458211128591,"ENSSSCT00000022577.5","ENSSSCG00000030108","ZNFX1","ZNFX1","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000005744.6",2.70881938560188,-0.891304888654285,4.545741640568,5.72052415265632e-05,0.0454907242617578,1.12751526587065,"ENSSSCT00000005744.6","ENSSSCG00000005211","CD274","CD274","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000050784.3",6.56251984454164,-3.35972153229141,4.71069608369651,3.46015577043046e-05,0.0322328339254613,0.831886536363334,"ENSSSCT00000050784.3","ENSSSCG00000011563","FANCD2","FANCD2","Significant","Bronchial_24hpi_Inf_vs_Mock"
"ENSSSCT00000005691.2",4.8661577117352,-4.01642114868758,6.14361718732583,4.07119217010778e-07,0.0132737149514194,3.64289524661286,"ENSSSCT00000005691.2","ENSSSCG00000005163","IFNB1","IFNB1","Significant","Tracheal_24hpi_Inf_vs_Mock"
