"target_id","ext_gene","target_biotype","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSSSCG00000055629",NA,"protein_coding",1,6.28272687460818,2.43047277565030e-11,4.89918501758449e-10
"ENSSSCG00000009650","DOCK5","protein_coding",1,7.52393151990739,2.50679683472263e-11,5.03434638962759e-10
"ENSSSCG00000007705",NA,"protein_coding",1,6.85688475043202,2.50361204625748e-11,5.03434638962759e-10
"ENSSSCG00000016708","SKAP2","protein_coding",1,7.45184692935592,2.51514937290012e-11,5.04449184593602e-10
"ENSSSCG00000014387","DIAPH1","protein_coding",2,14.3126054988039,2.52329529327268e-11,5.05419685020792e-10
"ENSSSCG00000003520","CDC42","protein_coding",2,15.6524264204222,2.54812697913805e-11,5.09710243443613e-10
"ENSSSCG00000005915","MAF1","protein_coding",2,14.143210060905,2.55138609065212e-11,5.09710243443613e-10
"ENSSSCG00000038989","CRK","protein_coding",2,11.4541941096626,2.57754214783781e-11,5.14263402681531e-10
"ENSSSCG00000013656","MRPL4","protein_coding",3,15.3730723648963,2.60152700149353e-11,5.17697098487313e-10
"ENSSSCG00000010821","EPRS1","protein_coding",2,11.490960095947,2.60008891103427e-11,5.17697098487313e-10
"ENSSSCG00000032096","LETMD1","protein_coding",4,18.1834064958784,2.64390568073994e-11,5.25446170594909e-10
"ENSSSCG00000021042","BRWD1","protein_coding",2,13.0982627232436,2.65035602704713e-11,5.2604404105664e-10
"ENSSSCG00000006900","DIPK1A","protein_coding",2,10.7202596314901,2.66402660870544e-11,5.27797163031326e-10
"ENSSSCG00000017879","SPNS2","protein_coding",1,7.72773006131332,2.66609572636383e-11,5.27797163031326e-10
"ENSSSCG00000011629","ACAD11","nonsense_mediated_decay",1,6.31100115275846,2.68089526309476e-11,5.30040392055332e-10
"ENSSSCG00000011629","ACAD11","protein_coding",1,6.31100115275846,2.68089526309476e-11,5.30040392055332e-10
"ENSSSCG00000018039","NCOR1","protein_coding",6,28.3465691218467,2.69002889343235e-11,5.31159064319465e-10
"ENSSSCG00000020964","SEC22B","protein_coding",2,13.528527799725,2.70050452133977e-11,5.32539491608202e-10
"ENSSSCG00000033295","EIF2S1","protein_coding",1,7.58909336668211,2.71912923491855e-11,5.35521289913146e-10
"ENSSSCG00000009283","TNFRSF19","protein_coding",1,6.4799553678217,2.73962644960607e-11,5.38863719811191e-10
"ENSSSCG00000006309","CD247","protein_coding",1,6.10347156699392,2.774556518471e-11,5.45032741282677e-10
"ENSSSCG00000011013","WAC","protein_coding",2,13.5082870995834,2.82434988752932e-11,5.54101916959057e-10
"ENSSSCG00000001655","MEA1","protein_coding",3,18.2021102315141,2.85088644838668e-11,5.58590994752482e-10
"ENSSSCG00000008359","RAB1A","protein_coding",4,24.7326892973646,2.90437841592557e-11,5.68343346102312e-10
"ENSSSCG00000060620","IL20RB","protein_coding",2,7.28058995117896,2.93601211672846e-11,5.73798889769323e-10
"ENSSSCG00000000036","PACSIN2","protein_coding",3,22.3542140703023,2.9553107657631e-11,5.76832879095243e-10
"ENSSSCG00000037455","NDUFS8","protein_coding",3,11.3802089227004,3.0345772412615e-11,5.91251986956606e-10
"ENSSSCG00000000139","IFT27","protein_coding",1,6.32716397140487,3.03692213414209e-11,5.91251986956606e-10
"ENSSSCG00000036178","CCDC167","protein_coding",1,6.03583540077516,3.10009349505312e-11,6.02782810240419e-10
"ENSSSCG00000010508","TM9SF3","protein_coding",3,18.5104526692271,3.12123280485775e-11,6.06121994366468e-10
"ENSSSCG00000014371","NDUFA2","protein_coding",1,7.27271737110992,3.1332061911905e-11,6.07675002791426e-10
"ENSSSCG00000011833","DLG1","protein_coding",4,19.9447843138254,3.16943073570635e-11,6.13921545422054e-10
"ENSSSCG00000005204","RANBP6","protein_coding",2,13.0249208003048,3.22388384107044e-11,6.23678692950375e-10
"ENSSSCG00000004957","CLN6","protein_coding",4,23.329980726832,3.26851887878942e-11,6.29128136329203e-10
"ENSSSCG00000004121","FBXO30","protein_coding",1,6.23920788486273,3.26206159468682e-11,6.29128136329203e-10
"ENSSSCG00000033057","ANAPC13","protein_coding",1,7.07589691418785,3.26637251489618e-11,6.29128136329203e-10
"ENSSSCG00000017339","NMT1","protein_coding",4,24.9251347094574,3.26679711385162e-11,6.29128136329203e-10
"ENSSSCG00000032748","SWI5","protein_coding",1,6.62023204955601,3.28171348635549e-11,6.30873298263785e-10
"ENSSSCG00000005126","PLAA","protein_coding",5,23.4875069904303,3.34596911173421e-11,6.42417662495401e-10
"ENSSSCG00000017804","ABR","protein_coding",4,29.1326108229514,3.41139819052051e-11,6.54158074601317e-10
"ENSSSCG00000016186",NA,"protein_coding",4,24.1159614355881,3.61586595898553e-11,6.92497236230273e-10
"ENSSSCG00000033636","AFMID","protein_coding",2,14.0240401290016,3.64339600535656e-11,6.9637352392977e-10
"ENSSSCG00000016611","CADPS2","protein_coding",4,16.6108188089517,3.64521899590274e-11,6.9637352392977e-10
"ENSSSCG00000022034","SMYD3","protein_coding",1,6.05453477414461,3.66985943703214e-11,7.00205515307893e-10
"ENSSSCG00000023665","FBXO25","protein_coding",4,17.3487501385273,3.67584273442884e-11,7.00472624816409e-10
"ENSSSCG00000022760",NA,"protein_coding",3,22.1156143713418,3.71023981112328e-11,7.06146887090872e-10
"ENSSSCG00000022952","NMD3","protein_coding",4,20.0858724133401,3.71738853228959e-11,7.06627474365445e-10
"ENSSSCG00000054655","TM9SF1","protein_coding",3,21.3363815704136,3.77542913877745e-11,7.16768739477464e-10
"ENSSSCG00000018027",NA,"protein_coding",3,17.3074376270203,3.80740649740943e-11,7.21942847393403e-10
"ENSSSCG00000032501",NA,"protein_coding",1,6.53802819070627,3.82170570701721e-11,7.23756236931152e-10
"ENSSSCG00000004160","PEX7","protein_coding",2,10.0112412599953,3.88104095939917e-11,7.34083527011108e-10
"ENSSSCG00000013178","ZDHHC5","protein_coding",1,8.90026262361206,3.94494539480501e-11,7.45248460677441e-10
"ENSSSCG00000003940","HYI","protein_coding",3,16.6286176082431,3.97134927062888e-11,7.48670039674847e-10
"ENSSSCG00000025363","SNX17","protein_coding",2,14.1461311239673,3.9728548202336e-11,7.48670039674847e-10
"ENSSSCG00000000985","EXOC2","protein_coding",4,26.4968098772067,4.06102429668916e-11,7.6434278726971e-10
"ENSSSCG00000024184","FASTK","protein_coding",2,11.7654620313256,4.13708661416611e-11,7.77701042119319e-10
"ENSSSCG00000037557","DRC3","protein_coding",2,10.7965027450218,4.16101750201993e-11,7.81238703726912e-10
"ENSSSCG00000002959","FAM98C","protein_coding",1,6.37081778210652,4.21963619004589e-11,7.90302694760679e-10
"ENSSSCG00000026465","BABAM2","protein_coding_CDS_not_defined",2,12.2200706232701,4.21507104808099e-11,7.90302694760679e-10
"ENSSSCG00000026465","BABAM2","protein_coding",2,12.2200706232701,4.21507104808099e-11,7.90302694760679e-10
"ENSSSCG00000033883",NA,"protein_coding",1,5.21054187270819,4.24280941760607e-11,7.93670212108611e-10
"ENSSSCG00000017773","SUPT6H","protein_coding",2,13.9075145268526,4.25122688772939e-11,7.94272622557069e-10
"ENSSSCG00000004888","SERPINB8","protein_coding",1,7.33854030539367,4.28874088610394e-11,8.00303137513144e-10
"ENSSSCG00000002290","PLEK2","protein_coding",2,13.1431992284276,4.30477477312928e-11,8.02315522655303e-10
"ENSSSCG00000021890","GNB1","protein_coding",3,24.1002856085428,4.31971805293609e-11,8.04119987856544e-10
"ENSSSCG00000033585","DUSP23","protein_coding",1,4.74538729674807,4.37469110994827e-11,8.12374292021135e-10
"ENSSSCG00000007460","ARFGEF2","protein_coding",3,18.0815443269919,4.37260786803422e-11,8.12374292021135e-10
"ENSSSCG00000029830",NA,"protein_coding",4,21.4609221389721,4.44755241375162e-11,8.2490222741949e-10
"ENSSSCG00000024661","ZNF524","protein_coding",3,16.5111774426,4.45706575810001e-11,8.2566467855809e-10
"ENSSSCG00000037213","TRAPPC3","protein_coding",4,22.7306021742566,4.50605564265134e-11,8.32847052580006e-10
"ENSSSCG00000001918","NPTN","protein_coding",4,25.6112978872419,4.50673632456759e-11,8.32847052580006e-10
"ENSSSCG00000038132","IRF2BP2","protein_coding",1,8.14936547029924,4.52488297560946e-11,8.35190658408688e-10
