"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSSSCT00000048972.3",-0.0536099825696432,6.48535683522033,-0.424152911258516,0.673919288856355,0.999921722309542,-5.34923319441419
"ENSSSCT00000059286.3",0.00100042689105884,5.69886949102056,0.00755911452594767,0.994009515829118,0.999921722309542,-5.34924730585169
"ENSSSCT00000052418.3",-0.0150348606848789,5.61656257489249,-0.0850942524794861,0.932646924240248,0.999921722309542,-5.34941310833284
"ENSSSCT00000035976.4",-0.00085642331469149,5.62157088939057,-0.00971171944869247,0.992303657898815,0.999921722309542,-5.34943846097068
"ENSSSCT00000038032.3",-0.06376884739751,6.0982255157722,-0.303879902518311,0.76292800933613,0.999921722309542,-5.34957284218797
"ENSSSCT00000009458.5",0.0913905910766006,5.93203085989319,0.311425930286053,0.757231232923224,0.999921722309542,-5.3496118097778
"ENSSSCT00000025090.4",0.0293805450649112,5.96247540428706,0.249943444318142,0.804018696542269,0.999921722309542,-5.34962278537675
"ENSSSCT00000018588.5",-0.104540305523229,5.93465355749851,-0.27180568433608,0.787287895285768,0.999921722309542,-5.34962911326708
"ENSSSCT00000012360.5",0.0385958397975763,5.99040916564232,0.239256837620327,0.812231657178187,0.999921722309542,-5.34968548293631
"ENSSSCT00000034954.4",0.0312680791661117,5.8613213225569,0.231912463037722,0.817888574347019,0.999921722309542,-5.35021113216832
"ENSSSCT00000024963.4",-0.0131381526759498,5.71029403862586,-0.104510479116431,0.917330801434012,0.999921722309542,-5.35024934377047
"ENSSSCT00000028079.4",-0.0188184178867701,5.7258698642951,-0.164741499584257,0.870047474738205,0.999921722309542,-5.35032970240848
"ENSSSCT00000107131.1",-0.0807377599325472,5.71477993169215,-0.176870234797942,0.860578484955332,0.999921722309542,-5.35036487784324
"ENSSSCT00000032150.3",-0.00671837158840738,5.61576453847468,-0.0302509657569094,0.976030086815022,0.999921722309542,-5.35036835145742
"ENSSSCT00000011453.5",-0.0097805661636734,5.66857106099155,-0.0614033400635667,0.95136969283103,0.999921722309542,-5.35040584278941
"ENSSSCT00000029861.4",0.0101829432715252,5.75975746041198,0.0768988984569694,0.939119820277453,0.999921722309542,-5.35048258519574
