"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSSSCT00000011501.5",0.345845573214131,-4.43167288041153,0.474168482705169,0.638102279003764,0.969222453083719,-4.95194400632165
"ENSSSCT00000014771.4",0.157107095997153,5.56385707287059,1.86411916042123,0.0700704881548432,0.732734616124718,-4.95196775628388
"ENSSSCT00000106641.1",0.397181589573169,-1.79846127913942,0.704454802894198,0.485459196151994,0.940486429517111,-4.95197158684683
"ENSSSCT00000106666.1",-0.279198078466179,-4.86804888040951,-0.472099358288123,0.639564839443258,0.96976029782766,-4.95200665552007
"ENSSSCT00000107001.1",0.733227234557325,1.81728345462991,1.32422416805788,0.19336525241485,0.843667598662804,-4.95202168567807
"ENSSSCT00000047761.2",-0.297059397765241,-4.38026725167555,-0.494593525882133,0.623744122664063,0.96772957050952,-4.95202407277933
"ENSSSCT00000019093.5",-0.267987241052646,-4.43257960731906,-0.502109100830999,0.618497711273586,0.966872201133559,-4.95209972669298
"ENSSSCT00000087173.1",0.106902883670848,5.1311486350332,1.82185780285459,0.0763814514144192,0.736049720246924,-4.95225240914934
"ENSSSCT00000062353.3",-0.472181743039934,-3.1715810348668,-0.74346517894447,0.461787662479614,0.933577288736472,-4.9523052525132
"ENSSSCT00000010002.4",0.394022861144359,-1.9934853461469,0.687956758196998,0.495672309731725,0.94392367375497,-4.95234794923599
"ENSSSCT00000007561.5",-0.20999374115954,-5.3638843352193,-0.431365703709723,0.668648127782875,0.973332885984193,-4.95245267693069
"ENSSSCT00000096638.1",-0.409706183002892,-3.78650637617907,-0.542606693054202,0.590579691738979,0.961465484001251,-4.95246029564212
"ENSSSCT00000092877.1",0.533817214238548,-3.66474199490606,0.573446451237412,0.569732242847122,0.958173972392148,-4.95247372051351
"ENSSSCT00000064503.3",0.230964548651064,-5.36935919057183,0.432936596989637,0.667516513391709,0.973332885984193,-4.95249516879941
"ENSSSCT00000097833.1",-0.225978649515049,-3.54294186142068,-0.523955385814997,0.603362620676875,0.963196876020405,-4.95253363659587
"ENSSSCT00000072819.1",-0.210521452441849,-1.24458541447,-0.773498650089546,0.444028823322529,0.927931417715449,-4.95254614146684
"ENSSSCT00000088915.1",0.237877981815859,-5.08346288083099,0.446516154615733,0.657767289712815,0.97221829504413,-4.95256891598484
"ENSSSCT00000060892.3",-0.465629528675912,-1.67248263866786,-0.724660924672288,0.473113601734876,0.937106517342746,-4.9525933196975
"ENSSSCT00000014933.4",0.33200858659051,-4.65089647067385,0.484073920760894,0.631120977064196,0.967974870664126,-4.95279405903057
"ENSSSCT00000015724.5",0.305526733941632,-4.01770419240199,0.511174671827286,0.612196120096545,0.96550323550836,-4.95287907178806
"ENSSSCT00000080705.2",-0.500113714716385,-2.89437371106051,-0.600654170371935,0.551648286320504,0.955129381715127,-4.95294439550108
"ENSSSCT00000046834.3",-0.354458991042028,-4.79281946436628,-0.486329317319392,0.629536127450484,0.967971022739118,-4.95294939446575
"ENSSSCT00000041750.3",0.720756556804917,-2.65044521782127,0.787738901070755,0.435752165792722,0.926671667371941,-4.95297780152943
"ENSSSCT00000002750.5",0.305610375210479,-3.47220955610727,0.571950689860592,0.570734892666334,0.958510677440138,-4.95297811654296
"ENSSSCT00000082211.2",0.210722804401778,-2.75191651549192,0.616194544219175,0.541452355981702,0.953411737506939,-4.9529906409726
"ENSSSCT00000002097.5",-0.261081775262076,-2.00745206706874,-0.630683511307454,0.532035157330696,0.951194947766589,-4.9530657650731
"ENSSSCT00000102386.1",0.251470430554039,-2.84016228165789,0.588826689038124,0.559473451804592,0.956345596024369,-4.95306859557084
"ENSSSCT00000092797.1",-0.298778590721224,-4.59395327881737,-0.477506737963365,0.635745720691097,0.968819794771136,-4.95307418915751
"ENSSSCT00000044367.2",-0.315935162667975,-3.87135035287387,-0.637063539484811,0.527915938504905,0.950652266056113,-4.95307663672623
"ENSSSCT00000043132.3",0.261627628537543,-5.09060742919175,0.468735499680658,0.641945693580785,0.96976029782766,-4.95309181814266
"ENSSSCT00000043358.2",-0.791924132671864,-0.366749881524806,-0.922726003946967,0.361991482858151,0.91333606118424,-4.95310652743441
"ENSSSCT00000017520.5",-0.283019183817205,1.39917883489238,-1.23392635514333,0.224833089262753,0.862607369298473,-4.95310755829382
"ENSSSCT00000047654.3",0.216531500570487,-5.42992329164609,0.433066134485833,0.667423234328231,0.973332885984193,-4.9531108461711
"ENSSSCT00000013283.5",-0.226766116888486,-2.66094737910996,-0.667237093380403,0.508666062636595,0.946846381101141,-4.95314312669442
"ENSSSCT00000042615.3",0.120206734244525,3.7323282492201,1.65421836759221,0.106349180241658,0.77318886404354,-4.95314917638277
"ENSSSCT00000099509.1",0.263087857788219,-4.75207200998547,0.45796356151693,0.649595491494391,0.970726898947824,-4.95330902024132
"ENSSSCT00000068617.1",-0.18559995347446,-0.138828010243955,-0.975135694278137,0.335680692788259,0.907169700438165,-4.95332457665443
"ENSSSCT00000069183.1",1.07368898762705,1.37218895769424,1.24366037366064,0.221267923462247,0.859775971942921,-4.95336187106791
"ENSSSCT00000004510.5",-0.270199119639537,-4.67628495049742,-0.540471142863137,0.592036733583062,0.961465484001251,-4.95336192630143
"ENSSSCT00000004518.3",-0.645965764419822,-0.553396258202348,-1.01023847973428,0.318792167562598,0.90301857720161,-4.95336975610131
"ENSSSCT00000086554.2",-0.307346477671604,-4.48978379849413,-0.532465682116615,0.597513911088694,0.962354345380294,-4.95345353516603
"ENSSSCT00000044819.3",0.165364878226814,3.8954149183278,1.70415382986367,0.0965451070924278,0.766207898050861,-4.9535098767251
"ENSSSCT00000025402.4",-0.270421885250788,-5.26775882842725,-0.462423935228962,0.646423188410209,0.970687507908824,-4.95355122585815
"ENSSSCT00000019150.4",0.133534834212693,8.23777551992498,1.99545280048119,0.0532237394452088,0.719140645741363,-4.95363701328164
"ENSSSCT00000059512.3",0.404967571393876,-4.16751771477083,0.495673217385165,0.622989189512841,0.96772957050952,-4.95366167795673
"ENSSSCT00000037996.2",0.269109872857397,-5.30165783283726,0.445212307663902,0.658700777082531,0.972596319476319,-4.95376603945973
"ENSSSCT00000089621.1",0.574405041656271,3.47388853156646,1.58779293624679,0.120648090849744,0.788362238366997,-4.95382960650823
"ENSSSCT00000087555.1",0.193533701430549,-3.30660427051806,0.557123317576211,0.580721079794845,0.960468240683759,-4.95385013048285
"ENSSSCT00000069269.1",0.30707869425896,-1.40562782325777,0.772055869212774,0.444872568594933,0.927931417715449,-4.95392403666048
"ENSSSCT00000054726.1",-0.50896531756012,-0.872915289684648,-0.843309449573913,0.404350361073478,0.920467147147619,-4.95394867431434
