"target_id","ext_gene","target_biotype","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"ENSSSCG00000025912","URI1","protein_coding",2,13.4621483758336,0.0128894883345448,0.0228947941308648
"ENSSSCG00000007427","ZSWIM3","protein_coding",1,4.87089024445746,0.0128961300477961,0.0229039234915959
"ENSSSCG00000008007","WDR24","protein_coding",1,6.77528500390543,0.0129062310150647,0.0229149338391324
"ENSSSCG00000027890",NA,"protein_coding",4,14.280457467435,0.01290493866612,0.0229149338391324
"ENSSSCG00000062070",NA,"lncRNA",1,3.05542895083104,0.0129068376119292,0.0229149338391324
"ENSSSCG00000023909","THPO","protein_coding",1,1.57977344463061,0.0129163275283764,0.0229291127450771
"ENSSSCG00000032908","PSMD7","protein_coding",1,8.21830316028,0.0129210326349066,0.0229347953264684
"ENSSSCG00000043928",NA,"lncRNA",1,3.00705872346794,0.012933515489387,0.0229542804582941
"ENSSSCG00000035893","CLTRN","protein_coding",2,8.08092273032275,0.0129435291828779,0.0229693793215065
"ENSSSCG00000011293","POMGNT2","protein_coding",1,4.26557024960853,0.012946004807153,0.0229710992907
"ENSSSCG00000051680","IFN-OMEGA-6","protein_coding",1,4.66051608417569,0.0129531356419961,0.0229810779993948
"ENSSSCG00000005346","ZCCHC7","protein_coding",1,6.42403710925748,0.0129597631582619,0.0229901615170237
"ENSSSCG00000040629","IL34","protein_coding",2,7.27246952167588,0.0129666035911579,0.0229996205841069
"ENSSSCG00000031592","ZNF462","protein_coding",3,13.9355653754211,0.0129704473715865,0.0230015670811891
"ENSSSCG00000039061","EIF2AK4","protein_coding",4,22.5092585543689,0.0129707177736996,0.0230015670811891
"ENSSSCG00000000095","GTPBP1","protein_coding",3,16.5803126351771,0.012987700847063,0.0230290058391702
"ENSSSCG00000000399","TIMELESS","protein_coding",1,5.32940619848033,0.0129968393327742,0.023042530285487
"ENSSSCG00000022312","RHPN2","protein_coding",1,8.04215815640332,0.0130091760365339,0.0230617211556738
"ENSSSCG00000013585","EVI5L","protein_coding",3,10.4729936007857,0.0130241541306115,0.0230841774781546
"ENSSSCG00000010600","CALHM2","protein_coding",1,3.34130066667688,0.0130248713372708,0.0230841774781546
"ENSSSCG00000023776","CCSAP","protein_coding",1,5.14768337721728,0.0130288955292038,0.0230881945635957
"ENSSSCG00000059201",NA,"lncRNA",1,6.72296918679412,0.0130301660708443,0.0230881945635957
"ENSSSCG00000039337","ITPRIPL2","protein_coding",1,5.5973612187375,0.0130421330134569,0.0231067138750092
"ENSSSCG00000013298","PDHX","protein_coding",1,6.68714483279969,0.01304390788991,0.0231071737236568
"ENSSSCG00000053460",NA,"lncRNA",1,2.67575314179343,0.0130499326027006,0.023115161140502
"ENSSSCG00000015657","PIGR","protein_coding",4,26.3088108189091,0.01305690333321,0.0231221366772871
"ENSSSCG00000029300","ALKBH4","protein_coding",1,6.30378360471334,0.0130556281614882,0.0231221366772871
"ENSSSCG00000032578","TNFRSF17","protein_coding",1,4.41585756485515,0.0130632317121951,0.0231306572665191
"ENSSSCG00000035501","SMARCAL1","protein_coding",2,11.3089692781425,0.0130732528369813,0.023145713747954
"ENSSSCG00000035501","SMARCAL1","nonsense_mediated_decay",2,11.3089692781425,0.0130732528369813,0.023145713747954
"ENSSSCG00000007599","LMTK2","protein_coding",1,7.89646286090098,0.0130749881191901,0.0231460986567831
"ENSSSCG00000045667",NA,"lncRNA",1,3.59145361367517,0.0130803375887948,0.0231528807767304
"ENSSSCG00000008340","ANTXR1","protein_coding",5,26.5147881620745,0.0130977347821858,0.0231809839477195
"ENSSSCG00000044694",NA,"lncRNA",1,1.99742040016264,0.0131156181212119,0.0232099408994268
