"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSSSCT00000022616.3",-0.184673456217639,-3.33894534198144,-0.246606767896171,0.806580657302456,0.873012507077292,-5.80024180275605
"ENSSSCT00000083399.2",0.110365436151229,-3.67210144051518,0.273436047901771,0.786044183582587,0.858738257657374,-5.80030213756423
"ENSSSCT00000070413.1",0.104051741269361,-3.7731207763768,0.104622568791013,0.917242468533903,0.948521249553873,-5.80031707117664
"ENSSSCT00000055062.3",0.417952218562433,-2.67675282355538,0.481171775649831,0.633238217114214,0.744003561469976,-5.80036515313409
"ENSSSCT00000023653.4",0.160517756582239,-0.163391117434803,0.913968941062519,0.366672500882419,0.505539166896583,-5.80036660091444
"ENSSSCT00000067716.1",0.0166307941983549,-4.21696106462673,0.034086732916035,0.972991886479793,0.984089934345036,-5.80038179140563
"ENSSSCT00000056964.3",-0.397464379375536,-1.78026129015401,-0.674440505245399,0.504239049324724,0.635958606309214,-5.8003903117076
"ENSSSCT00000010658.3",0.369900951695502,6.85941809159772,2.01431388618246,0.0513163729464229,0.112683123891781,-5.80043467605859
"ENSSSCT00000069183.1",1.1180884078345,1.45626654783822,1.24540170973625,0.220842140473356,0.346736836559438,-5.80059674824945
"ENSSSCT00000029888.4",0.229746876233949,3.0607866041906,1.61528150382561,0.114777312552758,0.21149539383238,-5.80068352501489
"ENSSSCT00000099384.1",-0.157470949356144,-4.13652156948082,-0.232345557084466,0.817554711491912,0.88021509802471,-5.80069008540205
"ENSSSCT00000018924.5",0.155808567810762,5.80162830563953,1.95148426192179,0.0586290379799754,0.125281239631611,-5.80069606767579
"ENSSSCT00000075242.2",0.140125832445967,-3.48922987618051,0.241090168415805,0.810821133012387,0.875757228160995,-5.80111567900112
"ENSSSCT00000040007.3",0.145855652296207,-2.87771684913376,0.318005607532437,0.75227515917385,0.834864959396348,-5.80113219881897
"ENSSSCT00000035263.3",0.829758996813562,1.32518648287169,1.21662012185185,0.231480927119494,0.359151239545255,-5.80120086150037
"ENSSSCT00000094101.1",-0.109506196552326,-3.38586583402105,-0.229968804546613,0.819387321412419,0.881289828744267,-5.80121276487568
"ENSSSCT00000058845.2",-0.340876551452735,-2.36952212580144,-0.491800785105283,0.625775978315305,0.738284040940969,-5.80129478498536
"ENSSSCT00000077413.2",0.29285067302648,-2.6384626140463,0.356122825593513,0.723778629344835,0.814176043029222,-5.80133950402321
"ENSSSCT00000049527.3",-0.971590248353005,-0.751459847448115,-0.614690269470893,0.542534965626533,0.669295471614041,-5.8014593151104
"ENSSSCT00000088865.2",0.280619252941407,-3.64545043006438,0.456772368471691,0.650514811683884,0.758233380011053,-5.80148522025381
"ENSSSCT00000094110.1",-0.255830451226563,-3.56683763942852,-0.379025328012701,0.706843434080617,0.801457949044146,-5.80151709805768
"ENSSSCT00000023586.4",-0.141374712481838,3.9430199530508,-1.74960066686333,0.0885086000593696,0.172633069893257,-5.80172907241903
"ENSSSCT00000078762.1",0.125361421388117,-2.72068756098514,0.343010756415364,0.733538729490504,0.821160402963379,-5.80176172524891
"ENSSSCT00000041298.3",-0.605109311639799,-2.152860072676,-0.541667771257541,0.591306393754715,0.711164324098223,-5.8017795028686
"ENSSSCT00000039371.3",0.22159998394241,0.995276106488979,1.17494938772468,0.247548472647754,0.378000674513272,-5.80179639109748
"ENSSSCT00000088584.2",0.160351680232896,-1.02986761523006,0.726277114518161,0.472255307222133,0.607345062980058,-5.80189955187909
"ENSSSCT00000077133.2",-0.204795515200081,3.48180112802294,-1.68679794059556,0.100088101498461,0.190189559462398,-5.80200572776097
"ENSSSCT00000083771.1",-0.229102102550841,-0.236095599437974,-0.857152613332753,0.396898649167774,0.535948790949103,-5.80211391904634
"ENSSSCT00000079379.1",-0.368809249153922,-0.862342488665023,-0.777741957166545,0.441684110963522,0.579130891733881,-5.80211788888049
"ENSSSCT00000067751.1",-0.101494262607481,-3.52564301018151,-0.243280989823735,0.809136402187584,0.874813652890961,-5.80215079799089
"ENSSSCT00000069542.1",-0.159980292128569,-2.40878126907155,-0.357256156378943,0.722937187170146,0.813454032664807,-5.80215441929126
"ENSSSCT00000064439.3",-0.61064838086563,-1.17410381996578,-0.688031557079296,0.495739716094571,0.62830311772779,-5.80216640816868
"ENSSSCT00000045567.2",-0.158972953303139,-3.96332744268306,-0.229688515430169,0.819603508025201,0.881402228895496,-5.80226572041681
"ENSSSCT00000088194.1",-0.150663538840944,-3.41991173463308,-0.293494269893162,0.770790359182434,0.848155547444619,-5.80231679509045
"ENSSSCT00000098840.1",-0.140573505042061,-2.38492731969375,-0.419840691820414,0.67703870003735,0.778626145817759,-5.80233301630821
"ENSSSCT00000083622.2",-0.107764236145434,-3.65816188527002,-0.187668371607406,0.852165782172248,0.904280330738616,-5.80236490601265
"ENSSSCT00000070647.2",-0.188230769679871,1.85475604691345,-1.36777816801536,0.179662282674986,0.296743113694794,-5.80238450666898
"ENSSSCT00000049864.3",-0.433481407060012,-2.16802056933949,-0.497668266329564,0.621673599749916,0.735222074666397,-5.8024822774947
"ENSSSCT00000092362.1",0.106346885496837,-3.13867148095315,0.316353252257994,0.753518788603051,0.835693808545271,-5.80254317004258
"ENSSSCT00000059144.3",-0.279086909812976,-3.95243987263908,-0.28854972258081,0.774542275444011,0.850848259722929,-5.8026746974066
"ENSSSCT00000097380.1",-0.190395766187972,0.647322683824393,-1.13638119900441,0.263130480278817,0.395405179472302,-5.80268200055079
"ENSSSCT00000101638.1",0.118336238899665,-3.12734076739428,0.31677300847465,0.753202799857418,0.835487274500082,-5.80269670829717
"ENSSSCT00000037205.3",-0.115846243351587,-4.11050627816698,-0.137458085445591,0.89141675277026,0.931321556295753,-5.80278107735423
"ENSSSCT00000064287.3",0.260584218275209,-2.68463479351066,0.516544711913529,0.608559026797605,0.724722715673501,-5.80283160870642
"ENSSSCT00000003922.5",-0.179982222305593,-3.71345174816784,-0.18513209469419,0.854140231531508,0.905432522965611,-5.80295733652492
"ENSSSCT00000103374.1",-0.234163598809367,-2.65196755470764,-0.464754498627401,0.644840705826143,0.753427212784647,-5.80316953253307
"ENSSSCT00000064063.3",-0.261326679663472,-1.45903644119692,-0.744421954643658,0.461340484199758,0.597052560109908,-5.80330318604013
"ENSSSCT00000065861.3",-0.16941191785559,-1.28835502895266,-0.562380832614737,0.577260571854074,0.699346536753277,-5.80344485748809
"ENSSSCT00000026864.3",-0.149574935883337,6.58490052576006,-1.99735116047388,0.0532079197833611,0.116086122632274,-5.80350558682821
"ENSSSCT00000046843.1",-0.530361230105551,-0.844403219280015,-0.807042286875423,0.424818590338679,0.562696945740496,-5.80351838139921
"ENSSSCT00000081281.1",-0.29692136571111,-2.57974361287712,-0.279559414031208,0.781378115750753,0.855676353942751,-5.80354362897292
"ENSSSCT00000052901.3",0.445171490036224,1.23057205891584,1.25961909545394,0.215723435980508,0.340589623525061,-5.80358182183775
"ENSSSCT00000045775.3",-0.450973611050634,1.9773681943429,-1.42498361010194,0.162573728371534,0.275677756965973,-5.80359415050382
"ENSSSCT00000088391.2",-0.140608755513081,-3.04626710687691,-0.127103825711541,0.899548998757451,0.93693561497262,-5.80363989642218
"ENSSSCT00000086824.2",-0.665098477237338,-1.24050074499173,-0.756630784648739,0.454079699332305,0.590727576292015,-5.8036553351734
"ENSSSCT00000039023.2",0.231669171865918,2.36584371224482,1.43270472748236,0.160368336429599,0.272779102195681,-5.80365562754063
"ENSSSCT00000007622.5",-0.329755754992495,2.47122464564724,-1.41864161720832,0.164402957786276,0.277962081163176,-5.80372604676416
